solverid,instanceid,runtime,status,score,vresult
anders_satsuma-iter-kissat[main],5babccd4bf9b270acf0568bba32313bd,27.71,sat-verified,27.71,sat
anders_satsuma-iter-kissat[main],4e0de894799790b06e8d6c3efd109ade,30.16,sat-verified,30.16,sat
anders_satsuma-iter-kissat[main],ee8c86d39745aea1c1731d4f34bcaed7,53.70,sat-verified,53.70,sat
anders_satsuma-iter-kissat[main],f554b55356a5e0ed39dbf8c1030ebce0,42.51,sat-verified,42.51,sat
anders_satsuma-iter-kissat[main],bb8db7af8ede49391a66d4442d91c10b,25.62,sat-verified,25.62,sat
anders_satsuma-iter-kissat[main],9a4671d8bb658361162976c0f06cc47e,32.65,sat-verified,32.65,sat
anders_satsuma-iter-kissat[main],57f6bbfc8be5a981322fe9991209aa33,37.01,sat-verified,37.01,sat
anders_satsuma-iter-kissat[main],9c5dd2eb0a40a150c686459a118c720a,26.38,sat-verified,26.38,sat
anders_satsuma-iter-kissat[main],c3bc9b01e5f804723b74715508941bf2,31.65,sat-verified,31.65,sat
anders_satsuma-iter-kissat[main],bbcfd33f07cbf6fefa950d8254aa34ce,46.86,sat-verified,46.86,sat
anders_satsuma-iter-kissat[main],8db998d5fd64f85a1847115208f73873,98.58,sat-verified,98.58,sat
anders_satsuma-iter-kissat[main],97af3e49faef7cf67794928b6690b67c,53.23,sat-verified,53.23,sat
anders_satsuma-iter-kissat[main],f2c6d035d0aa58cc06927af6be7a821f,54.79,unsat-verified,54.79,unsat
anders_satsuma-iter-kissat[main],bf8c8761003704e761ce36db6665f741,12.27,unsat-verified,12.27,unsat
anders_satsuma-iter-kissat[main],5de866bc7ff4dfde3cd682b5aca75894,2.12,sat-verified,2.12,sat
anders_satsuma-iter-kissat[main],958fd8bd1936e5bad8cbccae492edd81,62.84,unsat-verified,62.84,unsat
anders_satsuma-iter-kissat[main],c557ad9cb79983b9d429c219e3cecbb8,11.27,unsat-verified,11.27,unsat
anders_satsuma-iter-kissat[main],e1292f8d651e022362630d34fef69312,75.65,sat-verified,75.65,sat
anders_satsuma-iter-kissat[main],6cd46641ebd4c840b8f116d14ca17dfd,2.14,sat-verified,2.14,sat
anders_satsuma-iter-kissat[main],2ca47af4ab7a817725138b8b66e9af7f,5000.14,solver-timeout,10000.00,sat
anders_satsuma-iter-kissat[main],ee44c3f464238366729bf2cb16eb412a,4.22,sat-verified,4.22,sat
anders_satsuma-iter-kissat[main],b6de3c794e223fe515682f52e5d81272,1038.11,unsat-verified,1038.11,unsat
anders_satsuma-iter-kissat[main],37fa67bd34cc613f3fc6954cdee943c1,525.75,sat-verified,525.75,sat
anders_satsuma-iter-kissat[main],a5dc08b83ff806ac2c2c8cc23053fb07,5000.30,solver-timeout,10000.00,sat
anders_satsuma-iter-kissat[main],de3440b67769e7af00e58ec9cce9847b,5000.11,solver-timeout,10000.00,
anders_satsuma-iter-kissat[main],5fb5e437292532efe687ac6f74a9cb76,5000.09,solver-timeout,10000.00,sat
anders_satsuma-iter-kissat[main],654241eda3e1283f4b139192d1db055a,2594.71,sat-verified,2594.71,sat
anders_satsuma-iter-kissat[main],7efc1b160fb755fb1e8b6bcc70bbeb90,5000.34,solver-timeout,10000.00,sat
anders_satsuma-iter-kissat[main],dd062c307e10ebbb0d5641709ff26a7e,1509.05,sat-verified,1509.05,sat
anders_satsuma-iter-kissat[main],1c0fe2ac410f3942e374ea72ec005d76,181.71,sat-verified,181.71,sat
anders_satsuma-iter-kissat[main],7fa502dfce37c37c1cafd50b3fba263f,26.79,sat-verified,26.79,sat
anders_satsuma-iter-kissat[main],515511be3905018ae7e6eb7ba7064d72,5000.04,solver-timeout,10000.00,sat
anders_satsuma-iter-kissat[main],33c8aca6a52d10e040da959439834d6a,62.59,sat-verified,62.59,sat
anders_satsuma-iter-kissat[main],a9856534b6ca67123d58dd5fd9c9a1b2,207.86,sat-verified,207.86,sat
anders_satsuma-iter-kissat[main],757d64688ac60cba697a980dfbbf5075,0.22,unsat-verified,0.22,unsat
anders_satsuma-iter-kissat[main],0ec6bf97a96b9840ae84f1d1da4c4dcd,0.43,unsat-verified,0.43,unsat
anders_satsuma-iter-kissat[main],fbd9968f5067604694f11f14c07c5527,2.14,unsat-verified,2.14,unsat
anders_satsuma-iter-kissat[main],bcdc894819cf050e57849fe84a1e8cc4,0.16,unsat-verified,0.16,unsat
anders_satsuma-iter-kissat[main],58eaf62034046ed4fc52562869569b44,1.37,unsat-verified,1.37,unsat
anders_satsuma-iter-kissat[main],a95f0373ebf724f474fcc9ccd7197bd9,0.12,unsat-verified,0.12,unsat
anders_satsuma-iter-kissat[main],2027301e88cb029e4b47b747da8a180a,0.18,unsat-verified,0.18,unsat
anders_satsuma-iter-kissat[main],1fb646d2657b6dd5f0106dbec9fd6c27,0.10,unsat-verified,0.10,unsat
anders_satsuma-iter-kissat[main],35e0b5a19c88961d98dd806e805759f4,0.51,unsat-verified,0.51,unsat
anders_satsuma-iter-kissat[main],727ebce936c010888c7f71f00885e643,0.16,unsat-verified,0.16,unsat
anders_satsuma-iter-kissat[main],b0142b06940fb02e2b4ddb7a2101a3d6,0.08,unsat-verified,0.08,unsat
